127.0.0.1 - - [07/Apr/2017:10:50:04 +0800] "GET / HTTP/1.1" 404 994
192.168.7.156 - - [07/Apr/2017:10:50:09 +0800] "POST /yujiu.web/status/list.json HTTP/1.1" 200 32
192.168.7.156 - - [07/Apr/2017:10:50:09 +0800] "POST /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [07/Apr/2017:10:50:23 +0800] "POST /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [07/Apr/2017:10:50:23 +0800] "POST /yujiu.web/collection/list.json HTTP/1.1" 200 356
192.168.7.156 - - [07/Apr/2017:10:51:15 +0800] "POST /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [07/Apr/2017:10:51:15 +0800] "POST /yujiu.web/collection/list.json HTTP/1.1" 200 356
192.168.7.156 - - [07/Apr/2017:10:51:17 +0800] "POST /yujiu.web/devices/list.json HTTP/1.1" 200 175
192.168.7.156 - - [07/Apr/2017:10:51:24 +0800] "POST /yujiu.web/devices/list.json HTTP/1.1" 200 175
192.168.7.156 - - [07/Apr/2017:10:51:35 +0800] "POST /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [07/Apr/2017:10:51:35 +0800] "POST /yujiu.web/collection/list.json HTTP/1.1" 200 356
192.168.7.156 - - [07/Apr/2017:10:51:37 +0800] "POST /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [07/Apr/2017:10:51:37 +0800] "POST /yujiu.web/status/list.json HTTP/1.1" 200 32
192.168.7.156 - - [07/Apr/2017:10:51:37 +0800] "POST /yujiu.web/status/list.json HTTP/1.1" 200 32
192.168.7.156 - - [07/Apr/2017:10:52:08 +0800] "POST /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [07/Apr/2017:10:52:08 +0800] "POST /yujiu.web/status/list.json HTTP/1.1" 200 32
192.168.7.156 - - [07/Apr/2017:10:52:26 +0800] "POST /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [07/Apr/2017:10:52:26 +0800] "POST /yujiu.web/status/list.json HTTP/1.1" 200 32
192.168.7.156 - - [07/Apr/2017:10:52:44 +0800] "GET /yujiu.web/status/add?name=lala&id=&deviceId=1&zeroRank=&zeroEvent=&oneRank=&oneEvent=&command=&commandParam=&zerotoone=&onetozero=&shield=0&historicalData=0&historicalChange=&historicalInterval=&insertTime=2017-04-07+10%3A52%3A43&updateTime=2017-04-07+10%3A52%3A43&loginfo=%E6%B7%BB%E5%8A%A0%E7%8A%B6%E6%80%81%E9%87%87%E9%9B%86%E9%A1%B9 HTTP/1.1" 200 1
192.168.7.156 - - [07/Apr/2017:10:52:44 +0800] "POST /yujiu.web/status/list.json HTTP/1.1" 200 266
192.168.7.156 - - [07/Apr/2017:11:10:29 +0800] "GET /topit-weixin-web/mobile/shopsalinfo/getbestsalecat0?branch= HTTP/1.1" 404 1096
192.168.7.156 - - [07/Apr/2017:11:10:29 +0800] "GET /topit-weixin-web/mobile/shopsalinfo/getbestsalecat1?branch= HTTP/1.1" 404 1096
192.168.7.156 - - [07/Apr/2017:11:10:45 +0800] "GET /topit-weixin-web/mobile/shopsalinfo/getbestsalecat0?branch= HTTP/1.1" 404 1096
192.168.7.156 - - [07/Apr/2017:11:10:45 +0800] "GET /topit-weixin-web/mobile/shopsalinfo/getbestsalecat1?branch= HTTP/1.1" 404 1096
192.168.7.156 - - [07/Apr/2017:11:11:30 +0800] "GET /topit-weixin-web/mobile/shopsalinfo/getsalebyseries?organ_no=&periodsdate= HTTP/1.1" 404 1096
192.168.7.156 - - [07/Apr/2017:11:15:28 +0800] "GET /topit-weixin-web/mobile/shopsalinfo/getsalebyseries?organ_no=&periodsdate= HTTP/1.1" 404 1096
192.168.7.156 - - [07/Apr/2017:13:51:54 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 11102
192.168.7.156 - - [07/Apr/2017:13:56:34 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 11102
192.168.7.156 - - [07/Apr/2017:13:56:34 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 11102
192.168.7.156 - - [07/Apr/2017:13:56:52 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 11102
192.168.7.156 - - [07/Apr/2017:13:56:52 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 11102
192.168.7.156 - - [07/Apr/2017:14:04:46 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 10982
192.168.7.156 - - [07/Apr/2017:14:05:00 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 10982
192.168.7.156 - - [07/Apr/2017:14:05:14 +0800] "POST /yujiu.web/users/list.json HTTP/1.1" 500 10982
